questionnaire,item,value
PVQ40,想出新主意、发挥创意对我来说很重要。我喜欢以自己独创的方式做事。,自我导向
PVQ40,富有对我来说很重要。我想要有很多钱和昂贵的东西。,权力
PVQ40,我认为世界上每个人都受到平等的对待是很重要的。我相信人在生活中应该享有平等的机会。,慈善
PVQ40,表现自己的能力对我来说很重要。我希望受人敬佩。,成就
PVQ40,生活在安全的环境里对我来说很重要。我会尽量避免危及我安全的任何事。,安全
PVQ40,我觉得尝试生活中不同的事物是很重要的。我总是寻求尝试新的事物。,刺激
PVQ40,我认为人们应该照别人说的来做。我认为即使在没有人注意的情况下，人们也应该随时遵守规定。,顺从
PVQ40,聆听与我不同的意见对我来说很重要。就算我不同意别人所说的，我也会试着去了解别人的意见。,慈善
PVQ40,我认为不强求超出我所能拥有的是很重要。我相信人应该知足。,传统
PVQ40,我把握每个享乐的机会。做能带给我乐趣的事对我来说很重要。,享乐主义
PVQ40,自己的事由自己做决定对我来说很重要。我喜欢自由的计划，选择自己想做的事。,自我导向
PVQ40,帮助我身边的人对我来说非常重要。我想要关心他们的幸福。,博爱
PVQ40,非常成功对我来说很重要。我喜欢给人留下印象。,成就
PVQ40,国家安全对我来说很重要。我认为政府必须防范来自国内外的威胁。,安全
PVQ40,我喜欢冒风险，我总是在寻求冒险经历。,刺激
PVQ40,行为举止合宜对我来说很重要。我避免去做别人认为是不对的事。,顺从
PVQ40,有权责与发号施令对我来说很重要。我希望别人照我说的去做。,权力
PVQ40,对朋友忠诚对我来说很重要。我希望为亲近的人付出。,博爱
PVQ40,我坚信人们应该要保护大自然。保护生态环境对我来说很重要。,慈善
PVQ40,宗教信仰对我来说很重要。我尽力去遵守宗教的规范。,传统
PVQ40,事物整洁有序对我来说很重要。我不喜欢把事情弄得一团乱。,安全
PVQ40,我认为对凡事都感兴趣是很重要的。我好奇而且喜欢寻根问底。,自我导向
PVQ40,我认为世人都应该和谐相处。倡导世界各族间的和平对我来说很重要。,慈善
PVQ40,我认为具有雄心大志很重要。我想要证明我的能力。,成就
PVQ40,我认为遵从传统是最好的做事方法。遵照习俗惯例对我来说很重要。,传统
PVQ40,享受生活的乐趣对我很重要。我喜欢“宠爱”自己。,享乐主义
PVQ40,回应他人所需对我来说很重要。我努力帮助我认识的人。,博爱
PVQ40,我认为我应该随时尊重父母和长者。恭顺对我来说很重要。,顺从
PVQ40,我希望所有人都能够受到公平的对待，即使是我不认识的人。保护社会上弱势的人对我来说很重要。,慈善
PVQ40,我喜欢惊喜。刺激有趣的生活对我来说很重要。,刺激
PVQ40,我尽力避免生病。保持健康对我来说很重要。,安全
PVQ40,上进心对我来说很重要。我努力去做得比别人好。,成就
PVQ40,原谅曾经伤害过我的人对我来说很重要。我尽量想别人好的方面，而不去怨恨别人。,博爱
PVQ40,独立对我来说很重要。我喜欢靠自己。,自我导向
PVQ40,政局稳定对我来说很重要。我关心社会秩序是否受到保护。,安全
PVQ40,时刻对别人有礼貌对我来说很重要。我尽量不去打扰或惹恼别人。,顺从
PVQ40,过得开心对我来说很重要。我喜欢享受生活。,享乐主义
PVQ40,谦虚与谨慎对我来说很重要。我尽量不引起别人的注意。,传统
PVQ40,我总希望成为决策者。我喜欢做领导者。,权力
PVQ40,适应大自然的环境对我来说很重要。我认为人不应改变自然。,慈善
